name,latitude,longitude,country,code
Honiara International Airport,-9.428,160.054993,SB,HIR
Port Moresby Jacksons International Airport,-9.443380356,147.2200012,PG,POM
Keflavik International Airport,63.985001,-22.6056,IS,KEF
Edmonton International Airport,53.3097,-113.580002,CA,YEG
Halifax / Stanfield International Airport,44.88079834,-63.50859833,CA,YHZ
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,CA,YOW
Quebec Jean Lesage International Airport,46.7911,-71.393303,CA,YQB
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,CA,YUL
Vancouver International Airport,49.19390106,-123.1839981,CA,YVR
Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,CA,YWG
Calgary International Airport,51.118822,-114.009933,CA,YYC
St. John's International Airport,47.618599,-52.7519,CA,YYT
Toronto Lester B. Pearson International Airport,43.6772,-79.6306,CA,YYZ
Houari Boumediene Airport,36.693886,3.214531,DZ,ALG
Kotoka International Airport,5.6051898,-0.166786,GH,ACC
Nnamdi Azikiwe International Airport,9.00679,7.26317,NG,ABV
Murtala Muhammed International Airport,6.57737,3.32116,NG,LOS
Diori Hamani International Airport,13.4815,2.18361,NE,NIM
Tunis Carthage International Airport,36.851002,10.2272,TN,TUN
Brussels Airport,50.901402,4.48444,BE,BRU
Berlin Brandenburg Airport,52.362247,13.500672,DE,BER
Frankfurt Airport,50.030241,8.561096,DE,FRA
Hamburg Helmut Schmidt Airport,53.630402,9.98823,DE,HAM
Cologne Bonn Airport,50.865898,7.14274,DE,CGN
Düsseldorf Airport,51.289501,6.76678,DE,DUS
Munich Airport,48.353802,11.7861,DE,MUC
Nuremberg Airport,49.498699,11.078056,DE,NUE
Leipzig/Halle Airport,51.420657,12.232705,DE,LEJ
Stuttgart Airport,48.689899,9.22196,DE,STR
Hannover Airport,52.461102,9.68508,DE,HAJ
Lennart Meri Tallinn Airport,59.413246,24.83264,EE,TLL
Helsinki Vantaa Airport,60.318363,24.963341,FI,HEL
Belfast International Airport,54.65750122,-6.215829849,GB,BFS
Birmingham Airport,52.453899,-1.74803,GB,BHX
Manchester Airport,53.349375,-2.279521,GB,MAN
London Luton Airport,51.874699,-0.368333,GB,LTN
London Gatwick Airport,51.148771,-0.192089,GB,LGW
London Heathrow Airport,51.4706,-0.461941,GB,LHR
Glasgow International Airport,55.871899,-4.43306,GB,GLA
Edinburgh Airport,55.950145,-3.372288,GB,EDI
London Stansted Airport,51.884998,0.235,GB,STN
Amsterdam Airport Schiphol,52.308601,4.76389,NL,AMS
Eindhoven Airport,51.45009995,5.374529839,NL,EIN
Dublin Airport,53.428713,-6.262121,IE,DUB
Shannon Airport,52.702,-8.92482,IE,SNN
Billund Airport,55.740335,9.157019,DK,BLL
Copenhagen Kastrup Airport,55.61790085,12.65600014,DK,CPH
Luxembourg-Findel International Airport,49.6233333,6.2044444,LU,LUX
"Bergen Airport, Flesland",60.2934,5.21814,NO,BGO
"Oslo Airport, Gardermoen",60.193901,11.1004,NO,OSL
"Tromsø Airport, Langnes",69.683296,18.9189,NO,TOS
"Trondheim Airport, Værnes",63.457802,10.924,NO,TRD
"Stavanger Airport, Sola",58.876701,5.63778,NO,SVG
Gdańsk Lech Wałęsa Airport,54.377602,18.4662,PL,GDN
Kraków John Paul II International Airport,50.077702,19.7848,PL,KRK
Warsaw Chopin Airport,52.165699,20.9671,PL,WAW
Göteborg Landvetter Airport,57.6628,12.2798,SE,GOT
Stockholm-Arlanda Airport,59.64849,17.928829,SE,ARN
Riga International Airport,56.923599,23.9711,LV,RIX
